candidate_a	candidate_b	score	title_similarity	interviewee_overlap	duration_score	date_score	year_mismatch	conference_mismatch	platforms	classification
angelique-martin-general	angelique-martin-software-craftsmanship-north-america-2014	0.854	1.0	1.0	0.541	0.0	false	false	vimeo	likely_duplicate
corey-haines-general	youtube-xhkWYAakUgs	0.8	1.0	1.0		0.0	false	false	vimeo,youtube	likely_duplicate
dave-thomas-goto-conference-and-community-goto-conference-and-community	dave-thomas-software-craftsmanship-north-america-2014	0.662	0.667	1.0	0.291	0.0	false	false	vimeo	possible_duplicate
vimeo-26657739	vimeo-26669252	0.649	0.929	0.0	0.844	1.0	false	false	vimeo	possible_duplicate_title_only
