subject,event,source,has_transcript
"James Edward Gray II","",youtube,no
"James Edward Grey III","",vimeo,no
"JC Grubbs","",youtube,no
"JC Grubbs.mov","",vimeo,no
"Jen Lindner and Milan Dobrota","",youtube,no
"Jen Meyers","",vimeo,no
"Jen Myers","",youtube,no
"Jez Humble on DevOps culture","GOTO Chicago 2014",youtube,yes
"Jim Remsik","",vimeo,yes
"Jim Remsik","",youtube,no
"Jim Suchy and Steve Kim","",youtube,no
"Joe Hirn","",vimeo,no
"Joe Hirn","",youtube,no
"Joel Clermont","",vimeo,yes
"Joel Clermont","",youtube,no
"Joel Turnbull on his "Debugger Driven Development" talk","",youtube,yes
"John Jarosz & Coleman Collins on building ecosystems","GOTO Chicago 2014",youtube,yes
"John Servin","",youtube,no
"Jonathan Baltz","",youtube,no
"Jonathan Baltz.mov","",vimeo,no
"Justin Collins creator of Brakeman","RailsConf 2014",youtube,yes
"Justin Love","",vimeo,yes
"Justin Love","",youtube,no
"Justin Searls","",vimeo,yes
"Justin Searls","",youtube,yes
"Katrina Owen","",youtube,no
"Ken Auer","",youtube,no
"Kevin Zolkiewicz","",youtube,no
"Kevin Zolkiewiecz","",vimeo,no
"Kresten Thorup","",youtube,no
"Kumar McMillan","",youtube,no
"Kumar McMillian.mov","",vimeo,no
"Lake County .NET User Group (LCNUG) w/Scott Seely","",vimeo,no
"Leon Gersing","",vimeo,yes
"Leon Gersing","",youtube,no
"London Software Craftsmanship","",vimeo,no
"Mandi Walls","",youtube,no
"Mark Simpson","",vimeo,yes
"Mark Simpson","",youtube,no
"Martin Atkins","",vimeo,yes
"Martin Atkins","",youtube,yes
"Matt Polito","",vimeo,yes
"Matt Polito","",youtube,no
"Matt Ruby creator of Vooza","",youtube,no
"Max De Marzi organizer Graph DB Chicago","GOTO Chicago 2014",youtube,yes
"Max Lancaster","",youtube,no
"Melissa Castello","",youtube,yes
"Melissa Castello.mov","",vimeo,no
"Micah Martin","",youtube,no
"Micah Martin.mp4","",vimeo,no
"Michael Eaton","",vimeo,yes
"Michael Eaton","",youtube,no
"Michael Ficarra","",youtube,no
"Michael Norton","",youtube,no
"Michael T  Nygard looking back on five years of DevOps","GOTO Chicago 2014",youtube,yes
"Mike Burton","",youtube,no
"Mike Busch","",vimeo,yes
"Mike Busch","",youtube,no
"Mike Clement","",vimeo,yes
"Mike Clement","",youtube,no
"Mike Jansen","",vimeo,yes
"Mike Jansen","",youtube,no
"Mike Lee","",youtube,no
"Mike Miller","",youtube,no
"Mike Stringer","",vimeo,yes
"Mike Stringer","",youtube,no
"Milan Dobrota & Jen Lindner","",vimeo,no
"Movie on 9-6-12 at 1.05 PM","",vimeo,no
"Noel Rappin","",vimeo,yes
"Noel Rappin","",youtube,no
"Obie Fernandez author The Rails Way & co-founder Hashrocket","",youtube,yes
"Ola Bini","",youtube,yes
"Ola Bini creator of Ioke and JRuby contributor","",youtube,yes
"Pat Paasch and Clark Sell","",youtube,no
"Patrick Welsh","",vimeo,yes
"Patrick Welsh","",youtube,no
"Paul Baker","",vimeo,yes
"Paul Baker","",youtube,no
"Pittsburgh SC w/Dustin Updyke","",vimeo,no
"Rafael França a 2014 Ruby Hero","RailsConf 2014",youtube,no
"Randy Ellis","",youtube,no
"Ray Hightower","",youtube,yes
"Rebecca Parsons","GOTO Chicago 2015",youtube,yes
"Refresh Chicago w/John, Shay & Tony","",vimeo,no
"Rich Hickey creator of Clojure","GOTO Chicago 2013",youtube,yes
"Richard Lee a contributor to OpenStack","GOTO Chicago 2014",youtube,yes
"Richard Schneeman a hacker","Heroku and avid F/OSS contributor at RailsConf 2014",youtube,no
"Rob Reynolds","",youtube,no
"Robert "Uncle Bob" Martin","",youtube,no
"Robert Martin","",vimeo,yes
"Russ Olsen author Eloquent Ruby","GOTO Chicago 2014",youtube,yes
"Ryan Briones and Ethan Gunderson","",youtube,no
"Ryan Gerry organizer with Software Craftsmanship McHenry County","GOTO Chicago 2014",youtube,yes
"Ryan Singer","",vimeo,yes
"Ryan Singer","",youtube,no
"Ryan Slobojan","",youtube,no
"Sam Serpoosh","",vimeo,yes
"Sam Serpoosh","",youtube,no
"Sandro Mancuso","",vimeo,yes
"Sandro Mancuso","",youtube,no
"Sandro Mancuso and Tom Brand","",youtube,no
"Sandro Mancuso.mp4","",vimeo,no
"Sarah Allen & Desi McAdam","",vimeo,no
"Sarah Allen and Desi McAdam","",youtube,yes
"Sarah Gray","",youtube,no
"Sarah Gray.mp4","",vimeo,no
"Scott Seely","",youtube,no
"Sean Massa & Todd Larsen","",vimeo,no
"Sean Massa and Todd Larsen","",youtube,no
"Sergio Pereira","",youtube,no
"South Bend Software Craftsmanship w/Ross","",vimeo,no
